corpus_name,docs,query,operator_type,rank_mode,backend,iterations,hits,avg_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,qps,alloc_bytes_per_query,allocs_per_query
wiki,5000,rights AND NOT copyright,NOT,bm25,mmap,3,871,2.4797,2.1370,2.1370,2.1290,3.1730,403.2800,687104,5612
wiki,5000,science AND NOT computer,NOT,bm25,mmap,3,808,3.4770,3.2430,3.2430,3.1750,4.0130,287.6043,905416,10600
wiki,5000,women AND NOT men,NOT,bm25,mmap,3,363,3.0497,3.1180,3.1180,2.8700,3.1610,327.9047,905237,12180
wiki,5000,period OR english,OR,bm25,mmap,3,2901,7.8697,7.8740,7.8740,7.6320,8.1030,127.0702,1912792,29683
wiki,5000,period OR further,OR,bm25,mmap,3,2805,6.9687,6.8770,6.8770,6.7330,7.2960,143.4995,1689520,29433
wiki,5000,period OR important,OR,bm25,mmap,3,2853,7.0073,7.0930,7.0930,6.8170,7.1120,142.7076,1705277,29375
wiki,5000,period OR less,OR,bm25,mmap,3,2853,7.1663,7.2970,7.2970,6.7690,7.4330,139.5414,1697944,29548
wiki,5000,period OR university,OR,bm25,mmap,3,2860,7.6220,7.5760,7.5760,7.5520,7.7380,131.1992,1865149,29713
wiki,5000,rights OR equality,OR,bm25,mmap,3,1046,2.7287,2.6500,2.6500,2.5680,2.9680,366.4794,829224,8481
wiki,5000,scientist OR scientists,OR,bm25,mmap,3,758,2.3900,2.0590,2.0590,1.9740,3.1370,418.4100,667240,6986
wiki,5000,suffrage OR vote,OR,bm25,mmap,3,465,1.4670,1.4460,1.4460,1.4070,1.5480,681.6633,550328,3943
wiki,5000,women OR female,OR,bm25,mmap,3,1366,3.8127,3.8050,3.8050,3.6100,4.0230,262.2836,1019789,13284
wiki,5000,women OR feminism,OR,bm25,mmap,3,1061,2.5403,2.5430,2.5430,2.5230,2.5550,393.6491,828232,8067
wiki,5000,"""20th century""",PHRASE,bm25,mmap,3,1270,6.5010,6.4700,6.4700,6.2380,6.7950,153.8225,1622768,24011
wiki,5000,"""ada lovelace""",PHRASE,bm25,mmap,3,15,1.1953,0.8880,0.8880,0.8150,1.8830,836.5867,406336,569
wiki,5000,"""class wikitable""",PHRASE,bm25,mmap,3,1271,5.0283,4.8040,4.8040,4.8030,5.4780,198.8731,1310288,19766
wiki,5000,"""feminist movement""",PHRASE,bm25,mmap,3,6,1.6307,1.5570,1.5570,1.5460,1.7890,613.2461,597440,6604
wiki,5000,"""marie curie""",PHRASE,bm25,mmap,3,13,1.1910,0.8320,0.8320,0.7750,1.9660,839.6306,419416,1571
wiki,5000,"""thumb left""",PHRASE,bm25,mmap,3,1108,9.9773,10.0740,10.0740,9.6410,10.2170,100.2272,2521656,35417
wiki,5000,"""thumb right""",PHRASE,bm25,mmap,3,1542,11.3820,11.2930,11.2930,11.2210,11.6320,87.8580,3071304,37754
wiki,5000,"""thumb upright""",PHRASE,bm25,mmap,3,1391,8.6577,8.6030,8.6030,8.4990,8.8710,115.5046,2210368,30520
wiki,5000,"""united states""",PHRASE,bm25,mmap,3,2057,9.5787,9.4020,9.4020,9.2520,10.0820,104.3987,2270152,31376
wiki,5000,"""voting rights""",PHRASE,bm25,mmap,3,40,1.7080,1.6820,1.6820,1.6760,1.7660,585.4801,621312,6051
wiki,5000,education,TERM,bm25,mmap,3,1033,1.9870,1.9530,1.9530,1.8450,2.1630,503.2713,585664,5451
wiki,5000,equality,TERM,bm25,mmap,3,219,0.8480,0.8460,0.8460,0.8370,0.8610,1179.2453,408640,1263
wiki,5000,feminism,TERM,bm25,mmap,3,38,0.7013,0.6800,0.6800,0.6680,0.7560,1425.8555,378112,304
wiki,5000,feminist,TERM,bm25,mmap,3,97,0.7773,0.7780,0.7780,0.7590,0.7950,1286.4494,388093,617
wiki,5000,rights,TERM,bm25,mmap,3,931,1.9650,2.0060,2.0060,1.8230,2.0660,508.9059,565296,4944
wiki,5000,scientist,TERM,bm25,mmap,3,431,1.0757,1.0640,1.0640,1.0530,1.1100,929.6560,439616,2332
wiki,5000,scientists,TERM,bm25,mmap,3,504,1.1530,1.1450,1.1450,1.1440,1.1700,867.3027,453528,2718
wiki,5000,suffrage,TERM,bm25,mmap,3,88,0.7773,0.7290,0.7290,0.7130,0.8900,1286.4494,386664,572
