docs,query,operator_type,memory_latency_ms,memory_latency_ci_low_ms,memory_latency_ci_high_ms,mmap_latency_ms,mmap_latency_ci_low_ms,mmap_latency_ci_high_ms,mmap_to_memory_ratio,memory_hits,mmap_hits,results_equal
25000,five AND sometimes,AND,0.6032,0.5885,0.6179,6.9522,6.8726,7.0318,11.5255,3991,3991,true
25000,five AND south,AND,0.9030,0.8672,0.9388,8.9256,8.8496,9.0016,9.8844,4918,4918,true
25000,five AND style,AND,1.2948,1.2584,1.3312,10.7576,10.7115,10.8037,8.3083,4621,4621,true
25000,five AND third,AND,0.7878,0.7717,0.8039,7.4802,7.3715,7.5889,9.4950,5164,5164,true
25000,five AND thus,AND,0.6656,0.6152,0.7160,7.1300,7.0787,7.1813,10.7121,4198,4198,true
25000,five AND title,AND,0.7796,0.7378,0.8214,7.6810,7.6217,7.7403,9.8525,4726,4726,true
25000,women AND education,AND,0.4520,0.4318,0.4722,5.4716,5.4165,5.5267,12.1053,2276,2276,true
25000,women AND rights,AND,0.4900,0.4792,0.5008,5.6584,5.5477,5.7691,11.5478,2246,2246,true
25000,women AND science,AND,0.3846,0.3573,0.4119,5.8430,5.7406,5.9454,15.1924,1704,1704,true
25000,women AND suffrage,AND,0.1088,0.0960,0.1216,3.6038,3.5120,3.6956,33.1232,346,346,true
25000,women AND university,AND,0.7720,0.7482,0.7958,8.3556,8.2980,8.4132,10.8233,3306,3306,true
25000,women AND vote,AND,0.2564,0.2295,0.2833,4.4226,4.3195,4.5257,17.2488,1137,1137,true
25000,area,BM25_TOPK,0.0006,-0.0011,0.0023,4.4736,4.3737,4.5735,7456.0000,8109,8109,true
25000,back,BM25_TOPK,0.0004,-0.0007,0.0015,4.0128,3.9495,4.0761,10032.0000,9149,9149,true
25000,book,BM25_TOPK,0.0004,-0.0007,0.0015,4.2328,4.1418,4.3238,10582.0000,8038,8038,true
25000,caption,BM25_TOPK,0.0006,-0.0011,0.0023,2.6164,2.5210,2.7118,4360.6667,8588,8588,true
25000,central,BM25_TOPK,0.0002,-0.0004,0.0008,4.0034,3.9597,4.0471,20017.0000,8124,8124,true
25000,city,BM25_TOPK,0.0002,-0.0004,0.0008,6.3928,6.3445,6.4411,31964.0000,9990,9990,true
25000,country,BM25_TOPK,0.0004,-0.0007,0.0015,4.5728,4.5279,4.6177,11432.0000,8494,8494,true
25000,created,BM25_TOPK,0.0002,-0.0004,0.0008,3.5762,3.5732,3.5792,17881.0000,8262,8262,true
25000,death,BM25_TOPK,0.0002,-0.0004,0.0008,4.5810,4.5358,4.6262,22905.0000,9112,9112,true
25000,described,BM25_TOPK,0.0004,-0.0007,0.0015,3.5436,3.4924,3.5948,8859.0000,8180,8180,true
25000,developed,BM25_TOPK,0.0002,-0.0004,0.0008,3.8378,3.7200,3.9556,19189.0000,8514,8514,true
25000,development,BM25_TOPK,0.0002,-0.0004,0.0008,4.0030,3.8566,4.1494,20015.0000,8142,8142,true
25000,does,BM25_TOPK,0.0004,-0.0007,0.0015,3.6420,3.2238,4.0602,9105.0000,7893,7893,true
25000,down,BM25_TOPK,0.0004,-0.0003,0.0011,3.6388,3.5913,3.6863,9097.0000,8400,8400,true
25000,either,BM25_TOPK,0.0004,-0.0007,0.0015,3.4892,3.4196,3.5588,8723.0000,8374,8374,true
25000,established,BM25_TOPK,0.0004,-0.0007,0.0015,4.2688,4.2455,4.2921,10672.0000,8687,8687,true
25000,family,BM25_TOPK,0.0004,-0.0007,0.0015,4.0462,4.0230,4.0694,10115.5000,8312,8312,true
25000,feminism AND women,BM25_TOPK,0.0870,0.0700,0.1040,3.4954,3.4576,3.5332,40.1770,198,198,true
25000,five,BM25_TOPK,0.0004,-0.0007,0.0015,3.9942,3.9256,4.0628,9985.5000,9025,9025,true
